name,tourism,amenity,leisure,opening_hours,website,lat,lon
הוט סינמה אשדוד,,cinema,,,https://hotcinema.co.il/theater/5,31.7928269,34.6389069
,viewpoint,,,,,31.8144322,34.6456933
מצפה יונה,viewpoint,,,,,31.8138944,34.6466141
,artwork,,,,,31.7827169,34.6549997
עין השמש,artwork,,,,,31.771675,34.6220049
,artwork,,,,,31.7711083,34.6312529
,artwork,,,,,31.7719167,34.6316163
,artwork,,,,,31.778848,34.6632164
,artwork,,,,,31.7895941,34.6408287
,artwork,,,,,31.790351,34.6411049
,artwork,,,,,31.7912789,34.6408334
,artwork,,,,,31.7794863,34.6372502
,artwork,,,,,31.795885,34.6340752
,artwork,,,,,31.7966844,34.6334228
,artwork,,,,,31.7970588,34.6346257
,artwork,,,,,31.7961831,34.635633
,viewpoint,,,,,31.7979088,34.6350495
גיל שניאור,artwork,,,,,31.7958079,34.6305549
,artwork,,,,,31.7873824,34.6277187
,artwork,,,,,31.7867576,34.6470185
,artwork,,,,,31.7773127,34.632099
,,,park,,,31.7794694,34.6461751
,,,park,,,31.7799642,34.645231
שפך נחל לכיש,attraction,,,,https://anattour.co.il/%D7%98%D7%99%D7%99%D7%9C%D7%AA-%D7%A4%D7%90%D7%A8%D7%A7-%D7%A0%D7%97%D7%9C-%D7%9C%D7%9B%D7%99%D7%A9-%D7%91%D7%90%D7%A9%D7%93%D7%95%D7%93-%D7%9E%D7%93%D7%A9%D7%90%D7%95%D7%AA-%D7%92%D7%9F-%D7%97/,31.8149474,34.6412146
,attraction,,,,,31.7716889,34.6223345
,attraction,,,,,31.7981426,34.6345045
,viewpoint,,,,,31.7972534,34.6354096
Кит,attraction,,,,,31.8141452,34.6479413
,artwork,,,,,31.7935684,34.6504472
,artwork,,,,,31.7934382,34.6504808
,artwork,,,,,31.7934916,34.6503985
,artwork,,,,,31.7934187,34.6503516
,artwork,,,,,31.7933187,34.6503498
,artwork,,,,,31.7932555,34.6504082
,artwork,,,,,31.7932217,34.6502914
,artwork,,,,,31.7930525,34.6502419
,artwork,,,,,31.7929803,34.6501552
,artwork,,,,,31.7928953,34.650141
,artwork,,,,,31.7928644,34.6500499
,artwork,,,,,31.7927915,34.6500331
,artwork,,,,,31.7926944,34.6499474
,artwork,,,,,31.7926316,34.6498973
ספיראלה,artwork,,,,,31.7909515,34.6374155
מצפה יוחאי,viewpoint,,,,,31.7817384,34.6226582
,artwork,,,,,31.7768245,34.6647888
,artwork,,,,,31.8010471,34.6333535
,viewpoint,,,,,31.7804693,34.6217816
אנדרטת הנר,artwork,,,,,31.8083488,34.644061
,artwork,,,,,31.773068,34.6180651
,viewpoint,,,,,31.7743327,34.6191588
,artwork,,,,,31.7728327,34.617501
,artwork,,,,,31.799895,34.6355563
,artwork,,,,,31.7998939,34.6355124
,artwork,,,,,31.7940152,34.634629
בדרכו של חן,artwork,,,,,31.8170924,34.6490833
,artwork,,,,,31.7815804,34.6426854
,artwork,,,,,31.7791043,34.6503552
,artwork,,,,,31.7982264,34.6379396
,viewpoint,,,,,31.7926781,34.6269342
מקום בלב,artwork,,,,,31.7980957,34.6348011
חנוכייה ענקית,artwork,,,,,31.7663017,34.632836
,artwork,,,,,31.7881735,34.6428756
,,,park,,,31.78628818424944,34.638795611959516
,,,park,,,31.771356517995727,34.62785194193026
פארק עד הלום,,,park,,,31.78085868533305,34.66674362509535
,,,park,,,31.823110257853557,34.6693104611482
פארק המחתרות,,,park,,,31.79476045380246,34.643248454774714
,,,park,,,31.796372295241692,34.646611468343195
גן אברהם ברוידס,,,park,,,31.796423304847927,34.64531372637522
,,,park,,,31.798561994646633,34.63898144611749
,,,park,,,31.797101558608997,34.646268977805235
,,,park,,,31.77934444500385,34.63754124924148
גן בורדו,,,park,,,31.80178055952246,34.63955540716019
,,,park,,,31.797765447013965,34.64035099445814
,,,park,,,31.80168721162822,34.64907858456804
,,,park,,,31.795199092142056,34.645506841905835
גן הפסלים,,,park,,,31.792856664455755,34.650109646749215
,,,park,,,31.794892940792586,34.64978636178618
גן אלון,,,park,,,31.796790161723628,34.65246900218682
היכל התרבות אשדוד,,theatre,,,,31.793171527566777,34.63627239812399
גן החרשים,,,park,,,31.78122600740178,34.64990192055227
,,,park,,,31.78220331694909,34.653273272146265
גן הדואר,,,park,,,31.79192493356022,34.65064155179239
פארק בן גוריון,,,park,,,31.802628193326786,34.65582842413241
,,,park,,,31.810439070209366,34.66508419710014
,,,park,,,31.781905072940212,34.64431074756208
,,,park,,,31.789030401190846,34.66784940331755
,,,park,,,31.780876316649106,34.640077514895616
גן גבעת יונה,,,park,,,31.81406382893283,34.64646014803279
,,,park,,,31.81216572992218,34.640815724006096
,,,park,,,31.784662450000006,34.6269349
גן אלישבע,,,park,,,31.809319975706767,34.6418817836871
,,,park,,,31.776703985836622,34.648697973845714
,,,park,,,31.78212259826492,34.642041570298304
,,,park,,,31.774736680501107,34.6422308509605
,,,park,,,31.77720894770768,34.644575517138556
גן לב,,,park,,,31.775112682702595,34.64501194486012
,,,park,,,31.78478823333333,34.62909946666666
,,,park,,,31.77265895,34.64303175
,,,park,,,31.774623354525566,34.62560197083229
,,,park,,,31.76955890533225,34.63022101106123
,,,park,,,31.7744758096056,34.63179560865869
,,,park,,,31.776600547809505,34.62506382864148
יער מאכל קהילתי,,,park,,,31.77550054766214,34.630689960210795
,,,park,,,31.774968863760698,34.627394362422734
גן עמוס דביר,,,park,,,31.7758694850623,34.62902970763611
,,,park,,,31.798265571077874,34.64902246214126
גן השיקמה,,,park,,,31.786788580487706,34.65389918610275
,,,park,,,31.794457995263425,34.656272819084954
,,,park,,,31.79090792343402,34.65991212299703
,,,park,,,31.791960449999998,34.66154115000001
,,,park,,,31.791396080379304,34.662155947092735
,,,park,,,31.79329967668933,34.633350726615
מרכז תרבות מונארט,,arts_centre,,,,31.791936591382775,34.63722245238844
,,,park,,,31.815157214540644,34.64876945867484
,,,park,,,31.812931602375894,34.64428417012388
,,,park,,,31.811930886098157,34.63948628612517
,,,park,,,31.81028656811295,34.643910769519294
,,,park,,,31.806985563987233,34.64247715586757
,,,park,,,31.805457644855306,34.646027952304664
,,,park,,,31.807445995718606,34.65294070626033
,,,park,,,31.81017002456693,34.646357199277325
,,,park,,,31.78418694283177,34.66086095970914
,,,park,,,31.78789881564311,34.66583232509885
גן הלפרין,,,park,,,31.792002430718178,34.65687583125232
גן שילו,,,park,,,31.790549101165873,34.656468481865645
,,,park,,,31.78269651292829,34.648161720933
,,,park,,,31.78875502822734,34.65369641458354
,,,park,,,31.77682299057674,34.649505934629296
,,,park,,,31.772638205963837,34.64691387956629
,,,park,,,31.773451114224333,34.64539291999453
,,,park,,,31.776196928507684,34.647388103771455
,,,park,,,31.777322776202407,34.64536523600362
גן אבנר גרעין,,,park,,,31.775966983133777,34.64342360315319
,,,park,,,31.772135003644824,34.646447719024216
,,,park,,,31.77240117267832,34.63432536711534
,,,park,,,31.773796838757946,34.63534246490964
,,,park,,,31.77347302452047,34.6364154458396
,,,park,,,31.79300158904451,34.66015887033223
,,,park,,,31.795864100000003,34.66470735
,,,park,,,31.79502568801678,34.66557644066744
גן רמביה,,,park,,,31.788851090257772,34.66268086701287
גן אלכס,,,park,,,31.791123741093873,34.65584193957819
,,,park,,,31.78943618900914,34.65841665521229
,,,park,,,31.79523726749979,34.658359452679534
,,,park,,,31.79552426592028,34.66028603828402
גן מיכאל,,,park,,,31.79018133058037,34.657723624416576
גן מילמן,,,park,,,31.790840340172885,34.65391507476011
,,,park,,,31.797848634096027,34.66112079086336
,,,park,,,31.80133407595745,34.66566444075763
,,,park,,,31.80193537178044,34.66157626324111
,,,park,,,31.8061975057888,34.64477537644348
,,,park,,,31.805381493817986,34.64740447046778
,,,park,,,31.77725876111184,34.6305557452412
,,,park,,,31.778762616285047,34.62461351758218
,,,park,,,31.773044415183886,34.63027099574087
,,,park,,,31.783429972111296,34.62926439434591
,,,park,,,31.778618300010464,34.63187494078195
,,,park,,,31.767986428278707,34.633680420534624
,,,park,,,31.76865898355852,34.629430646590365
,,,park,,,31.769075383101015,34.63330918956388
,,,park,,,31.76985387016904,34.62699644275144
,,,park,,,31.7688666524101,34.631864803767165
,,,park,,,31.77959084770774,34.63849405515696
,,,park,,,31.781433474618222,34.640798114101294
,,,park,,,31.770970863470716,34.63924262676607
,,,park,,,31.78951899120826,34.64517186478502
מעבר העצמאות,,,park,,,31.790600121427737,34.64444070396264
,,,park,,,31.790786100000005,34.644462100000005
כיכר אילן רמון,,,park,,,31.788266319780373,34.64294500749586
,,,park,,,31.79333601829994,34.642717986063246
,,,park,,,31.793405807269245,34.641624986113015
גן מרכזי הקריה צפון,,,park,,,31.79092082774872,34.641237893230155
מעבר בני ברית העצמאות,,,park,,,31.79112744901297,34.64853352450308
,,,park,,,31.791947331994912,34.64598209418181
,,,park,,,31.79172605,34.64513945000001
גן מרכזי הקריה דרום,,,park,,,31.78839513268278,34.640304715546655
,,,park,,,31.78592740339724,34.64271415525473
,,,park,,,31.78582813333334,34.641408199999994
,,,park,,,31.78587785622536,34.641589155440926
,,,park,,,31.785429649405756,34.64107178905908
,,,park,,,31.7849914214237,34.63987421716623
