name,tourism,amenity,shop,lat,lon
קפה ג'ו,,cafe,,31.8099906,34.6557185
ארומה,,cafe,,31.8088524,34.6580981
ארומה,,cafe,,31.7922984,34.6390663
הוט סינמה אשדוד,,cinema,,31.7928269,34.6389069
פודיס,,cafe,,31.8070041,34.658526
פודיס,,cafe,,31.8073834,34.6617463
Texas,,cafe,,31.7871793,34.6464418
supercofix,,cafe,,31.7774736,34.6366904
Caprice,,cafe,,31.7863823,34.6400034
Cofix,,cafe,,31.7945278,34.6407093
שפך נחל לכיש,attraction,,,31.8149474,34.6412146
,attraction,,,31.7716889,34.6223345
,attraction,,,31.7981426,34.6345045
Кит,attraction,,,31.8141452,34.6479413
קפה גרג,,cafe,,31.8110488,34.6538
קפה קפה,,cafe,,31.7768028,34.6646617
Sabo,,cafe,,31.8134893,34.6421427
קופיקס,,cafe,,31.7944348,34.6407063
,,,mall,31.7890442,34.6427367
קפה גן סיפור,,cafe,,31.7970773,34.6335989
קניון הסיטי,,,mall,31.790720258207394,34.63956403922794
מרכז הקריה,,,mall,31.7944464547833,34.639773172632765
קניון אשדוד,,,mall,31.810504200224134,34.6409570144344
קניון סימול,,,mall,31.792786343093706,34.63878611777103
מרכזון רובע יג,,,mall,31.776011314336593,34.64173287904738
סטאר סנטר,,,mall,31.810200367589545,34.655675290980646
שדרת הכלה,,,mall,31.81000418298884,34.66130626801986
גן העיר,,,mall,31.79128194963982,34.63849689070436
מרכז מסחרי מול העיר,,,mall,31.831393511963427,34.671181410279786
rock garden,attraction,,,31.797596972280658,34.63552710727526
מרכז מסחרי רובע ט',,,mall,31.785351467209605,34.66030070395237
,attraction,,,31.782918976741136,34.668731008334326
